['12:15:59'],[],No request(Modbus)
['12:15:59'],[],b'00010000004f0110000000244861626364656667685aee12a9881234edccffff56781234b85241b2b852c1b241112152ffffffffbeefdead56781234beefdead56781234cccdccccdccc405ecccdccccdcccc05e00'
['12:15:59'],[],No request(Modbus)
['12:15:59'],[],No request(Modbus)
['12:15:59'],[],b'000200000006010300000024'
['12:15:59'],[],No request(Modbus)
['12:15:59'],[],No request(Modbus)
['12:35:19'],[],No requests(FTP)
['12:35:19'],[],No request(Modbus)
['12:35:19'],[],No request(HTTP)
['12:35:20'],[],No request(SNMP)
['12:35:20'],[],No requests(FTP)
"['12:36:38', '09:00:00']",['67.207.87.192'],GET
['12:36:38'],[],No request(HTTP)
['12:37:35'],[],No request(Modbus)
['12:37:35'],[],No request(Modbus)
['12:37:35'],[],b'00010000004f0110000000244861626364656667685aee12a9881234edccffff56781234b85241b2b852c1b241112152ffffffffbeefdead56781234beefdead56781234cccdccccdccc405ecccdccccdcccc05e00'
['12:37:35'],[],No request(Modbus)
['12:37:36'],[],No request(Modbus)
['12:37:36'],[],b'000200000006010300000024'
['12:37:36'],[],No request(Modbus)
['12:37:36'],[],No request(Modbus)
['12:38:10'],[],No request(Modbus)
['12:38:10'],[],No request(Modbus)
['12:38:10'],[],b'00010000004f0110000000244861626364656667685aee12a9881234edccffff56781234b85241b2b852c1b241112152ffffffffbeefdead56781234beefdead56781234cccdccccdccc405ecccdccccdcccc05e00'
['12:38:10'],[],No request(Modbus)
['12:38:10'],[],No request(Modbus)
['12:38:10'],[],b'000200000006010300000024'
['12:38:10'],[],No request(Modbus)
['12:38:10'],[],No request(Modbus)
['12:43:22'],[],No requests(FTP)
['12:43:22'],[],No request(Modbus)
['12:43:22'],[],No request(HTTP)
['12:43:23'],[],No request(SNMP)
['12:43:23'],[],No requests(FTP)
['12:44:41'],[],No requests(FTP)
['12:44:41'],[],No request(Modbus)
['12:44:41'],[],No request(HTTP)
['12:44:41'],[],No request(SNMP)
['12:44:41'],[],No requests(FTP)
['12:47:56'],[],No requests(FTP)
['12:47:56'],[],No request(Modbus)
['12:47:56'],[],No request(HTTP)
['12:47:56'],[],No request(SNMP)
['12:47:56'],[],No requests(FTP)
['12:49:26'],['67.207.87.192'],GET
['12:49:26'],[],No request(HTTP)
['12:51:19'],[],No request(Modbus)
['12:51:19'],[],No request(Modbus)
['12:51:19'],[],b'00010000004f0110000000244861626364656667685aee12a9881234edccffff56781234b85241b2b852c1b241112152ffffffffbeefdead56781234beefdead56781234cccdccccdccc405ecccdccccdcccc05e00'
['12:51:19'],[],No request(Modbus)
['12:51:19'],[],No request(Modbus)
['12:51:19'],[],b'000200000006010300000024'
['12:51:19'],[],No request(Modbus)
['12:51:20'],[],No request(Modbus)
['13:05:28'],[],No request(Modbus)
['13:05:28'],[],No request(Modbus)
['13:05:28'],[],b'00010000004f0110000000244861626364656667685aee12a9881234edccffff56781234b85241b2b852c1b241112152ffffffffbeefdead56781234beefdead56781234cccdccccdccc405ecccdccccdcccc05e00'
['13:05:28'],[],No request(Modbus)
['13:05:28'],[],No request(Modbus)
['13:05:28'],[],b'000200000006010300000024'
['13:05:28'],[],No request(Modbus)
['13:05:28'],[],No request(Modbus)
['13:05:33'],[],No request(Modbus)
['13:05:33'],[],No request(Modbus)
